title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
The Babadook,http://www.abc.net.au/atthemovies/txt/s4003429.htm,5/20/2014,22/05/2014,M,90,"Drama, Horror, Thriller",Essie Davis,Jennifer Kent,English,Umbrella Entertainment,4.5,4,8.5
The Band's Visit,http://www.abc.net.au/atthemovies/txt/s2265615.htm,6/25/2008,26/06/2008,M,85,Comedy/Drama,Sasson Gabai,Eran Kolirin,English,Madman,4,4.5,8.5
The Black Balloon,http://www.abc.net.au/atthemovies/txt/s2162605.htm,2/27/2008,6/3/2008,M,97,Drama,Toni Collette,Elissa Down,English,Icon,4,4.5,8.5
The Class,http://www.abc.net.au/atthemovies/txt/s2428884.htm,12/14/2008,22/01/2009,M,130,Drama,Fran,Laurent Cantet,French,Sony Pictures,4,4.5,8.5
The Combination,http://www.abc.net.au/atthemovies/txt/s2492722.htm,2/25/2009,,MA15+,93,Drama,George Basha,David Field,English,Australian Film Syndicate,4,4.5,8.5
The Darjeeling Limited,http://www.abc.net.au/atthemovies/txt/s2099205.htm,12/16/2007,26/12/2007,M,104,Drama,Owen Wilson,Wes Anderson,English,20th Century Fox,4,4.5,8.5
The Descendants,http://www.abc.net.au/atthemovies/txt/s3376568.htm,12/7/2011,12/1/2012,M,115,"Comedy, Drama",George Clooney,Alexander Payne,English,20th Century Fox,4,4.5,8.5
The Diving Bell And The Butterfly,http://www.abc.net.au/atthemovies/txt/s2144702.htm,2/13/2008,14/02/2008,M,112,Drama,Mathieu Amalric,Julian Schnabel,French,Icon,4.5,4,8.5
The Door in the Floor,http://www.abc.net.au/atthemovies/txt/s1296182.htm,2/23/2005,3/3/2005,M,111,Drama,Jeff Bridges,Tod Williams,English,Dendy Films,4.5,4,8.5
The Gatekeepers,http://www.abc.net.au/atthemovies/txt/s3827547.htm,9/3/2013,5/9/2013,M,101,Documentary,Themselves,Dror Moreh,English,Madman,4.5,4,8.5
The Hunt,http://www.abc.net.au/atthemovies/txt/s3732935.htm,4/30/2013,2/5/2013,MA15+,116,Drama,Mads Mikkelsen,Thomas Vinterberg,Danish,Madman Entertainment,4.5,4,8.5
The Ides of March,http://www.abc.net.au/atthemovies/txt/s3360418.htm,11/16/2011,24/11/2011,M,101,Drama,George Clooney,George Clooney,English,Roadshow,4.5,4,8.5
The Iron Lady,http://www.abc.net.au/atthemovies/txt/s3360429.htm,11/30/2011,26/12/2011,,105,"Biography, Drama",Meryl Streep,Phyllida Lloyd,English,Icon Film Distribution,4,4.5,8.5
The Kid With A Bike,http://www.abc.net.au/atthemovies/txt/s3441484.htm,3/14/2012,15/03/2012,M,87,Drama,Thomas Doret,Jean-Pierre Dardenne,French,Umbrella Entertainment,4.5,4,8.5
The Last King Of Scotland,http://www.abc.net.au/atthemovies/txt/s1840295.htm,2/14/2007,1/2/2007,MA15+,118,Drama,Forest Whitaker,Kevin Macdonald,English,20th Century Fox,4,4.5,8.5
The Manchurian Candidate,http://www.abc.net.au/atthemovies/txt/s1222864.htm,10/21/2004,28/10/2004,MA15+,130,Thriller,Denzel Washington,Jonathan Demme,English,United International Pictures,4,4.5,8.5
The Motorcycle Diaries,http://www.abc.net.au/atthemovies/txt/s1252371.htm,12/2/2004,16/12/2004,M,126,Drama / Adventure,Gael Garcia Bernal,Walter Salles,Spanish,Dendy Films,4,4.5,8.5
The Railway Man,http://www.abc.net.au/atthemovies/txt/s3903336.htm,12/10/2013,26/12/2013,M,116,"Biography, Drama",Nicole Kidman,Jonathan Teplitzky,English,Transmission Films,4.5,4,8.5
The Reader,http://www.abc.net.au/atthemovies/txt/s2476057.htm,2/18/2009,19/02/2009,MA15+,124,Romantic Thriller,Kate Winslet,Stephen Daldry,English,Roadshow,4.5,4,8.5
The Savages,http://www.abc.net.au/atthemovies/txt/s2284084.htm,7/16/2008,24/07/2008,M,114,Drama,Laura Linney,Tamara Jenkins,English,Roadshow,4,4.5,8.5
The Secret Life Of Walter Mitty,http://www.abc.net.au/atthemovies/txt/s3903331.htm,12/10/2013,26/12/2013,PG,114,"Adventure, Comedy, Drama",Ben Stiller,Ben Stiller,English,20th Century Fox,4.5,4,8.5
The Sessions,http://www.abc.net.au/atthemovies/txt/s3621560.htm,11/7/2012,8/11/2012,MA15+,95,Drama,John Hawkes,Ben Lewin,English,20th Century Fox,4,4.5,8.5
The Squid And The Whale,http://www.abc.net.au/atthemovies/txt/s1601600.htm,4/5/2006,13/04/2006,MA15+,81,Drama,Jeff Daniels,Noah Baumbach,English,Sony Pictures Releasing,4,4.5,8.5
The Tall Man,http://www.abc.net.au/atthemovies/txt/s3355188.htm,11/9/2011,17/11/2011,M,80,Documentary,,Tony Krawitz,English,Hopscotch,4.5,4,8.5
The Upside of Anger,http://www.abc.net.au/atthemovies/txt/s1364975.htm,5/11/2005,12/5/2005,M,117,Comedic Drama,Joan Allen,Mike Binder,English,Hoyts Distribution,4.5,4,8.5
This Is England,http://www.abc.net.au/atthemovies/txt/s1996149.htm,8/15/2007,23/08/2007,MA15+,102,Drama,Thomas Turgoose,Shane Meadows,English,Madman,4,4.5,8.5
Tomboy,http://www.abc.net.au/atthemovies/txt/s3461276.htm,3/28/2012,29/03/2012,G,99,Drama,Zoe Heran,Celine Sciamma,French,Rialto Distribution,4.5,4,8.5
Tristram Shandy: A Cock & Bull Story,http://www.abc.net.au/atthemovies/txt/s1663723.htm,6/28/2006,29/06/2006,M,94,Drama,Steve Coogan,Michael Winterbottom,English,Madman Entertainment,4,4.5,8.5
True Grit,http://www.abc.net.au/atthemovies/txt/s3092884.htm,2/9/2011,26/01/2011,M,110,"Adventure, Drama, Western",Jeff Bridges,Ethan Coen,English,Paramount Pictures Australia,4,4.5,8.5
Tsotsi,http://www.abc.net.au/atthemovies/txt/s1601722.htm,4/5/2006,13/04/2006,M,94,Drama,Presley Chweneyagae,Gavin Hood,,Rialto Entertainment,4,4.5,8.5
Tulpan,http://www.abc.net.au/atthemovies/txt/s2539717.htm,4/22/2009,28/04/2009,M,99,Drama/Comedy,Askhat Kuchencherekov,Sergey Dvortsevoy,Russian,Palace,4.5,4,8.5
"Two Days, One Night",http://www.abc.net.au/atthemovies/txt/s4120255.htm,11/4/2014,6/11/2014,M,91,Drama,Marion Cotillard,Jean-Pierra Dardeene,French,Madman Cinema,4.5,4,8.5
Up In The Air,http://www.abc.net.au/atthemovies/txt/s2750500.htm,12/6/2009,14/01/2010,M,109,"Comedy, Drama",George Clooney,Jason Reitman,English,Paramount Pictures Australia,4,4.5,8.5
Vera Drake,http://www.abc.net.au/atthemovies/txt/s1292777.htm,2/9/2005,10/2/2005,M,125,Drama,Imelda Staunton,Mike Leigh,English,Dendy Films,4,4.5,8.5
Wadjda,http://www.abc.net.au/atthemovies/txt/s3957998.htm,3/18/2014,20/03/2014,PG,97,Drama,Waad Mohammed,Haifaa Al-Mansour,English,Hopscotch Films,4,4.5,8.5
Wake In Fright,http://www.abc.net.au/atthemovies/txt/s2590361.htm,6/24/2009,25/06/2009,M,150,Drama,Gary Bond,Ted Kotcheff,English,Madman,4,4.5,8.5
Wallace and Gromit: The Curse of the Were-Rabbit,http://www.abc.net.au/atthemovies/txt/s1454069.htm,9/7/2005,15/09/2005,,TBA,Animation / Comedy,,Nick Park &amp; Steve Box,English,United International Pictures,4,4.5,8.5
War of the Worlds,http://www.abc.net.au/atthemovies/txt/s1396868.htm,6/29/2005,29/06/2005,M,116,Action,Tom Cruise,Steven Spielberg,English,United International Pictures,4,4.5,8.5
Watchmen,http://www.abc.net.au/atthemovies/txt/s2493386.htm,3/4/2009,5/3/2009,MA15+,160,Action/Fantasy/Drama,Malin Akerman,Zack Snyder,English,Paramount Pictures Australia,4.5,4,8.5
Water for Elephants,http://www.abc.net.au/atthemovies/txt/s3206367.htm,5/11/2011,12/5/2011,M,121,"Drama,",Robert Pattinson,Francis Lawrence,English,20th Century Fox,4.5,4,8.5
Wish You Were Here,http://www.abc.net.au/atthemovies/txt/s3479287.htm,4/25/2012,25/04/2012,MA15+,93,"Drama, Mystery",Joel Edgerton,Kieran Darcy-Smith,English,Hopscotch Films,4,4.5,8.5
Zero Dark Thirty,http://www.abc.net.au/atthemovies/txt/s3683776.htm,2/19/2013,8/1/2013,M,157,"Drama, History, Thriller",Jason Clarke,Kathryn Bigelow,English,ICON Film Distribution,4.5,4,8.5
127 Hours,http://www.abc.net.au/atthemovies/txt/s3092914.htm,2/9/2011,10/2/2011,MA15+,93,"Adventure, Biography, Drama, Thriller",James Franco,Danny Boyle,English,,4,4,8
13 Assassins,http://www.abc.net.au/atthemovies/txt/s3294361.htm,8/31/2011,8/9/2011,,126,"Action, Adventure, Drama",Koji Yakusho,Takashi Miike,Japanese,Icon Film Distribution,4,4,8
"20,000 Days on Earth",http://www.abc.net.au/atthemovies/txt/s4064839.htm,8/12/2014,21/08/2014,MA15+,95,"Documentary, Drama, Music",Nick Cave,Iain Forsyth,English,Madman,4.5,3.5,8
A Christmas Carol,http://www.abc.net.au/atthemovies/txt/s2725409.htm,11/4/2009,5/11/2009,PG,96,"Animation, Drama, Family, Fantasy",Voices,Robert Zemeckis,English,Walt Disney Studios,4,4,8
A Crude Awakening,http://www.abc.net.au/atthemovies/txt/s1941451.htm,6/13/2007,7/6/2007,G,83,Documentary,,Basil Gelpke ,English,Gil Scrine Films,4.5,3.5,8
A Dangerous Method,http://www.abc.net.au/atthemovies/txt/s3461278.htm,3/28/2012,29/03/2012,MA15+,99,"Biography, Drama, Thriller",Keira Knightley,David Cronenberg,English,PPA/Transmission Films,4,4,8
A Few Best Men,http://www.abc.net.au/atthemovies/txt/s3376571.htm,12/7/2011,26/01/2011,,97,Comedy,Xavier Samuel,Stephan Elliott,English,Icon Film Distribution,4,4,8
A Gun In Each Hand,http://www.abc.net.au/atthemovies/txt/s3780177.htm,7/2/2013,4/7/2013,M,95,"Comedy, Drama",Javier Camara,Cesc Gay,Spanish,Palace Films,4,4,8
A Hijacking,http://www.abc.net.au/atthemovies/txt/s3835878.htm,9/17/2013,19/09/2013,M,99,"Drama, Thriller",Pilou Asbaek,Tobias Lindholm,Danish,Madman Cinema,4,4,8
A Home at the End of the World,http://www.abc.net.au/atthemovies/txt/s1358061.htm,5/18/2005,19/05/2005,MA15+,94,Drama,Colin Farrell,Michael Mayer,,Becker Entertainment,4,4,8
A Most Wanted Man,http://www.abc.net.au/atthemovies/txt/s4050403.htm,7/29/2014,31/07/2014,M,122,Thriller,Grigoriy Dobrygin,Anton Corbijn,German,Roadshow Films,4,4,8
A Prophet (Un Prophéte),http://www.abc.net.au/atthemovies/txt/s2806895.htm,2/10/2010,11/2/2010,MA15+,155,"Drama, Crime",Tahar Rahim,Jacques Audiard,French,Sony Pictures Releasing,4.5,3.5,8
Accident,http://www.abc.net.au/atthemovies/txt/s2690077.htm,9/23/2009,17/09/2009,MA15+,89,"Thriller, Drama, Action",,Soi Cheang,,Media Asia Distribution,4,4,8
Across The Universe,http://www.abc.net.au/atthemovies/txt/s2062063.htm,10/31/2007,1/11/2007,M,133,Musical/Drama,Evan Rachel Wood,Julie Taymor,English,Sony,3.5,4.5,8
Ae Fond Kiss,http://www.abc.net.au/atthemovies/txt/s1364913.htm,5/11/2005,19/05/2005,MA15+,104,Comedy / Drama / Modern Romeo and Juliet,Eva Birthistle,Ken Loach,English,Rialto,4,4,8
American Gangster,http://www.abc.net.au/atthemovies/txt/s2099191.htm,12/16/2007,10/1/2008,,158,Drama,Russell Crowe,Ridley Scott,English,Universal Pictures,4,4,8
American Teen,http://www.abc.net.au/atthemovies/txt/s2412330.htm,11/19/2008,20/11/2008,M,102,Documentary,,Nanette Burstein,English,Paramount Pictures Australia,4,4,8
An Inconvenient Truth,http://www.abc.net.au/atthemovies/txt/s1720229.htm,9/6/2006,14/09/2006,PG,97,Documentary,,Davis Guggenheim,English,UIP,4,4,8
Appleseed,http://www.abc.net.au/atthemovies/txt/s1474306.htm,10/5/2005,6/10/2005,M,103,"Manga, Anime",,Shinji Aramaki,English,Madman Cinema,4,4,8
Arbitrage,http://www.abc.net.au/atthemovies/txt/s3589680.htm,9/26/2012,27/09/2012,MA15+,107,"Drama, Thriller",Richard Gere,Nicholas Jarecki,English,Madman,4,4,8
Arthur Christmas,http://www.abc.net.au/atthemovies/txt/s3355193.htm,11/16/2011,24/11/2011,G,97,"Animation, Comedy, Drama",Voices,Sarah Smith,English,Sony Pictures Releasing,4,4,8
Bad Santa,http://www.abc.net.au/atthemovies/txt/s1244111.htm,11/18/2004,25/11/2004,MA15+,91,Comedy,Billy Bob Thornton,Terry Zwigoff,English,Columbia Tri-star,3.5,4.5,8
Barney's Version,http://www.abc.net.au/atthemovies/txt/s3163484.htm,3/23/2011,24/03/2011,M,130,Drama,Paul Giamatti,Richard J Lewis,English,Hopscotch,4,4,8
Beasts Of The Southern Wild,http://www.abc.net.au/atthemovies/txt/s3566424.htm,9/5/2012,13/09/2012,M,93,"Drama, Fantasy",Quvenzhane Wallis,Benh Zeitlin,English,Icon Film Distribution,4.5,3.5,8
Before Midnight,http://www.abc.net.au/atthemovies/txt/s3780182.htm,7/9/2013,18/07/2013,MA15+,109,Drama,Ethan Hawke,Richard Linklater,English,Hopscotch,4,4,8
Before Sunset,http://www.abc.net.au/atthemovies/txt/s1171792.htm,8/12/2004,19/08/2004,MA15+,80,"Arthouse, Rommance",Ethan Hawke,Richard Linklater,English,Roadshow Films,4.5,3.5,8
Before The Devil Knows You're Dead,http://www.abc.net.au/atthemovies/txt/s2178310.htm,3/19/2008,20/03/2008,MA15+,117,Drama,Philip Seymour Hoffman,Sidney Lumet,English,Hopscotch,4,4,8
Begin Again,http://www.abc.net.au/atthemovies/txt/s4053996.htm,8/5/2014,7/8/2014,M,104,"Comedy, Drama, Music",Keira Knightley,John Carney,English,Roadshow Films,4,4,8
Behind The Candelabra,http://www.abc.net.au/atthemovies/txt/s3798373.htm,7/23/2013,25/07/2013,M,126,"Biography, Drama",Michael Douglas,Steven Soderbergh,English,Roadshow Films,4,4,8
Bethlehem,http://www.abc.net.au/atthemovies/txt/s4050362.htm,8/5/2014,7/8/2014,M,99,"Drama, Thriller",Tsahi Halevi,Yuval Adler,,Jiff Distribution,4,4,8
Black Book,http://www.abc.net.au/atthemovies/txt/s1962704.htm,7/4/2007,5/7/2007,MA15+,145,Drama/Thriller,Carice van Houten,Paul Verhoeven,Dutch,Sony Pictures Releasing,3.5,4.5,8
Blue Jasmine,http://www.abc.net.au/atthemovies/txt/s3826259.htm,9/3/2013,12/9/2013,M,98,Drama,Cate Blanchette,Woody Allen,English,Hopscotch,3.5,4.5,8
Blue Valentine,http://www.abc.net.au/atthemovies/txt/s3066738.htm,12/12/2010,26/12/2010,,114,"Drama, Romance",Ryan Gosling,Derek Cianfrance,English,Palace,4,4,8
Boy,http://www.abc.net.au/atthemovies/txt/s2970916.htm,8/25/2010,26/08/2010,M,87,"Drama, Family, Humour",Taika Waititi,Taika Waititi,English,Transmission Films,4,4,8
Bran Nue Dae,http://www.abc.net.au/atthemovies/txt/s2750501.htm,12/6/2009,14/01/2010,PG,85,"Comedy, Musical",Rocky McKenzie,Rachel Perkins,English,Roadshow Films,4,4,8
Brasileirinho,http://www.abc.net.au/atthemovies/txt/s1652818.htm,6/14/2006,,PG,90,Drama,,Mika Kaurismaki,Portuguese,Sharmill Films,4,4,8
Breach,http://www.abc.net.au/atthemovies/txt/s1910231.htm,5/9/2007,17/05/2007,M,110,Drama,Chris Cooper,Billy Ray,English,Rialto Entertainment,4,4,8
Broadway: The Golden Age,http://www.abc.net.au/atthemovies/txt/s1329344.htm,4/6/2005,7/4/2005,PG,111,Documentary,,Rick McKay,English,Polyphony Entertainment,4,4,8
Broken,http://www.abc.net.au/atthemovies/txt/s3750457.htm,5/14/2013,16/05/2013,MA15+,90,Drama,Tim Roth,Rufus Norris,English,Curious Films,3.5,4.5,8
Broken Embraces (Los Abrazos Rotos),http://www.abc.net.au/atthemovies/txt/s2750502.htm,12/6/2009,17/12/2009,M,128,"Drama, Romance, Thriller",Penelope Cruz,Pedro Almod&#xFFFD;var,Spanish,Paramount Pictures Australia,4,4,8
Brothers,http://www.abc.net.au/atthemovies/txt/s2831141.htm,3/17/2010,18/03/2010,M,104,"Drama, Thriller, War",Tobey Maguire,Jim Sheridan,English,Roadshow Films,4,4,8
Bukowski: Born Into This,http://www.abc.net.au/atthemovies/txt/s1392019.htm,6/15/2005,16/06/2005,MA15+,108,Documentary,Charles Bukowski,John Dullaghan,English,Shock Films,4,4,8
Camino,http://www.abc.net.au/atthemovies/txt/s2527715.htm,4/15/2009,9/4/2009,M,138,Drama,Mariano Venancio,Javier Fesser,Spanish,Valhalla Holdings,3.5,4.5,8
Candy,http://www.abc.net.au/atthemovies/txt/s1630567.htm,5/24/2006,25/05/2006,MA15+,106,Drama,Heath Ledger,Neil Armfield,English,Dendy Films,4.5,3.5,8
Casanova,http://www.abc.net.au/atthemovies/txt/s1569357.htm,2/15/2006,14/02/2006,M,111,Drama,Heath Ledger,Lasse Hallstrom,English,BVI,4,4,8
Casino Royale,http://www.abc.net.au/atthemovies/txt/s1788959.htm,11/29/2006,7/12/2006,M,145,Drama,Daniel Craig,Martin Campbell,English,Sony Pictures Releasing,4,4,8
Catch A Fire,http://www.abc.net.au/atthemovies/txt/s1788470.htm,11/22/2006,23/11/2006,M,101,Drama,Tim Robbins,Phillip Noyce,English,UIP,4,4,8
Cave of Forgotten Dreams,http://www.abc.net.au/atthemovies/txt/s3293930.htm,9/21/2011,22/09/2011,G,90,"Documentary, History",,Werner Herzog,English,Rialto Distribution,4,4,8
Children of Men,http://www.abc.net.au/atthemovies/txt/s1756228.htm,10/11/2006,19/10/2006,MA15+,100,Sci Fi,Clive Owen,Alfonso Cuaron,English,UIP,4,4,8
Cinderella Man,http://www.abc.net.au/atthemovies/txt/s1464402.htm,9/21/2005,22/09/2005,M,144,Drama based on a true story,Russell Crowe,Ron Howard,English,Buena Vista International,4,4,8
City Island,http://www.abc.net.au/atthemovies/txt/s2899471.htm,6/2/2010,27/05/2010,M,104,"Comedy, Drama",andy Garcia,Raymond De Felitta,English,Anchor Bay Films/Nixco,4,4,8
Closer,http://www.abc.net.au/atthemovies/txt/s1292760.htm,2/9/2005,26/01/2005,MA15+,104,Drama,Julia Roberts,Mike Nichols,English,Sony Pictures Releasing,4.5,3.5,8
Control,http://www.abc.net.au/atthemovies/txt/s2053852.htm,10/24/2007,25/10/2007,MA15+,117,Drama,Sam Riley,Anton Corbijn,English,Dendy,4,4,8
Coraline,http://www.abc.net.au/atthemovies/txt/s2625742.htm,7/29/2009,6/8/2009,PG,100,"Animation, Adventure",Dakota Fanning,Henry Selick,English,Universal Pictures International,4,4,8
Crash,http://www.abc.net.au/atthemovies/txt/s1353585.htm,4/27/2005,28/04/2005,MA15+,113,Drama,,Paul Haggis,English,Icon Film Distribution,4.5,3.5,8
"Crazy, Stupid, Love",http://www.abc.net.au/atthemovies/txt/s3307847.htm,9/28/2011,29/09/2011,M,117,"Comdey, Drama, Romance",Steve Carell,Glenn Ficarra,English,Roadshow,4,4,8
Dallas Buyers Club,http://www.abc.net.au/atthemovies/txt/s3938323.htm,2/18/2014,13/01/2014,MA15+,117,"Biography, Drama, History",Matthew McConaughey,Jean-Marc Vallee,English,Pinnacle Films,4,4,8
Damsels In Distress,http://www.abc.net.au/atthemovies/txt/s3566406.htm,8/29/2012,6/9/2012,M,99,"Comedy, Drama, Romance",Greta Gerwig,Whit Stillman,English,Sony Pictures Releasing,4,4,8
Darwin's Nightmare,http://www.abc.net.au/atthemovies/txt/s1444298.htm,8/24/2005,25/08/2005,M,111,Documentary,,Hubert Sauper,,Potential Films,4,4,8
Death At A Funeral,http://www.abc.net.au/atthemovies/txt/s2036829.htm,10/3/2007,11/10/2007,M,90,Comedy,Matthew Macfadyen,Frank Oz,English,Icon,4,4,8
Declaration of War,http://www.abc.net.au/atthemovies/txt/s3492159.htm,5/23/2012,31/05/2012,M,100,Drama,Valerie Donzelli,Valerie Donzelli,French,Palace Films,4,4,8
Deep Water,http://www.abc.net.au/atthemovies/txt/s2036840.htm,10/3/2007,11/10/2007,G,89,Documentary,,Louise Osmond,English,Hopscotch,4,4,8
Deja Vu,http://www.abc.net.au/atthemovies/txt/s1802058.htm,12/17/2006,18/01/2007,M,121,Action/Thriller,Denzel Washington,Tony Scott,English,BVI,4,4,8
Deliver Us From Evil,http://www.abc.net.au/atthemovies/txt/s1912036.htm,5/16/2007,17/05/2007,MA15+,103,Documentary,,Amy Berg,English,Roadshow Films,4,4,8
Detective Dee and the Mystery of the Phantom Flame,http://www.abc.net.au/atthemovies/txt/s3005047.htm,10/6/2010,14/10/2010,M,122,"Action, Thriller",andy Law,Tsui Hark,Chinese,Dream Movie (Australia) Pty Ltd,4,4,8
Disgrace,http://www.abc.net.au/atthemovies/txt/s2589575.htm,6/17/2009,18/06/2009,M,119,Drama,John Malkovich,Steve Jacobs,English,Icon,4,4,8
Drift,http://www.abc.net.au/atthemovies/txt/s3732922.htm,4/30/2013,2/5/2013,M,113,"Drama, Adventure",Sam Worthington,Morgan O&apos;Neill,English,Hopscotch Films,4,4,8
Elegy,http://www.abc.net.au/atthemovies/txt/s2524953.htm,4/1/2009,9/4/2009,M,113,Drama,Penelope Cruz,Isabel Coixet,English,Hopscotch,4,4,8
Elena,http://www.abc.net.au/atthemovies/txt/s3509335.htm,6/13/2012,21/06/2012,M,109,Drama,Elena Lyadova,Andrei Zvyagintsev,Russian,Palace Films,4,4,8
Enchanted,http://www.abc.net.au/atthemovies/txt/s2098454.htm,12/16/2007,26/12/2007,G,107,Animated Fantasy,Susan Sarandon,Kevin Lima,English,Walt Disney Motion Pictures Australia,4,4,8
Fading Gigolo,http://www.abc.net.au/atthemovies/txt/s3982858.htm,4/29/2014,1/5/2014,M,90,Comedy,JohnTurturro,John Turturro,English,Transmission Films,4,4,8
Fahrenheit 9/11,http://www.abc.net.au/atthemovies/txt/s1157661.htm,7/22/2004,29/07/2004,MA15+,118,Documentary,George W. Bush,Michael Moore,English,Hopscotch,4,4,8
Festival Express,http://www.abc.net.au/atthemovies/txt/s1239488.htm,11/11/2004,18/11/2004,MA15+,85,Documentary,,Bob Smeaton,English,Magna Pacific,4.5,3.5,8
Fill The Void,http://www.abc.net.au/atthemovies/txt/s3891662.htm,11/19/2013,28/11/2013,PG,90,Drama,Hadas Yaron,Rama Burshtein,,Rialto Distribution,4.5,3.5,8
Finding Neverland,http://www.abc.net.au/atthemovies/txt/s1252393.htm,12/2/2004,1/1/2005,PG,101,"Childrens, Biographical, Drama",Johnny Depp,Marc Forster,English,Buena Vista International,4,4,8
Finding Vivian Maier,http://www.abc.net.au/atthemovies/txt/s4113809.htm,10/28/2014,6/11/2014,PG,84,"Documentary, Biography, Mystery",Themselves,John Maloof,English,Vendetta Films,4,4,8
Flags Of Our Fathers,http://www.abc.net.au/atthemovies/txt/s1768145.htm,11/1/2006,2/11/2006,MA15+,132,Drama,Ryan Phillippe,Clint Eastwood,English,Roadshow Films,4,4,8
Flight Of The Red Balloon,http://www.abc.net.au/atthemovies/txt/s2258538.htm,6/4/2008,29/05/2008,PG,110,Drama,Juliette Binoche,Hsiao-hsien Hou,French,Madman,4,4,8
Forbidden Lies,http://www.abc.net.au/atthemovies/txt/s2007185.htm,9/5/2007,13/09/2007,M,106,Dramatised Documentary,,Anna Broinowski,English,Palace Films,4,4,8
Frances Ha,http://www.abc.net.au/atthemovies/txt/s3814932.htm,8/13/2013,,MA15+,86,,Greta Gerwig,Noah Baumbach,English,,4,4,8
Friends With Money,http://www.abc.net.au/atthemovies/txt/s1714184.htm,8/23/2006,31/08/2006,M,88,Drama,Jennifer Aniston,Nicole Holofcener,English,Roadshow Films,4,4,8
Frozen River,http://www.abc.net.au/atthemovies/txt/s2476112.htm,2/18/2009,19/02/2009,MA15+,97,Drama,Melissa Leo,Courtney Hunt,English,Sony Pictures,4,4,8
Gone Girl,http://www.abc.net.au/atthemovies/txt/s4095310.htm,9/30/2014,2/10/2014,MA15+,148,"Drama, Mystery, Thriller",Ben Affleck,David Fincher,English,20th Century Fox,4,4,8
Guerrilla: The Taking of Patty Hearst,http://www.abc.net.au/atthemovies/txt/s1320197.htm,3/23/2005,24/03/2005,M,86,Documentary,Michael Bortin,Robert Stone,English,Gil Scrine,4,4,8
Hannah Arendt,http://www.abc.net.au/atthemovies/txt/s3948003.htm,3/11/2014,13/03/2014,PG,114,"Biography, Drama",Barbara Sukowa,Margarethe von Trotta,English,Curious Distribution,4,4,8
Headhunters,http://www.abc.net.au/atthemovies/txt/s3441512.htm,3/7/2012,8/3/2011,MA15+,98,"Action, Crime, Thriller",Aksel Hennie,Morten Tyldum,,Rialto Distribution,4,4,8
